t_in,t_out,lado,entry,exit,tp,sl,pnl,motivo,z,p_up,p_mc,atr,expansion,bars,eq
2023-11-14 14:00:00+00:00,2023-11-14 14:30:00+00:00,1,1959.13,1964.5857142857144,1964.5857142857144,1956.9477142857145,5.155714285714294,TP,2.0538632357662663,0.9976776632358832,0.65025,2.7278571428571303,1,2,23.004857142856817
2023-11-21 13:15:00+00:00,2023-11-21 13:30:00+00:00,1,1995.17,1999.3314285714287,1999.3314285714287,1993.5054285714286,3.861428571428587,TP,2.108060801278101,0.9869429525699603,0.66275,2.0807142857142447,1,1,26.866285714285404
2023-11-24 13:15:00+00:00,2023-11-24 13:30:00+00:00,1,1997.94,1996.7885714285715,2000.8185714285714,1996.7885714285715,-1.4514285714285962,SL_amb,3.434455245124881,0.9992831254819633,0.506,1.439285714285737,1,1,25.414857142856807
2023-12-14 14:30:00+00:00,2023-12-14 14:45:00+00:00,1,2047.78,2044.7525714285714,2055.3485714285716,2044.7525714285714,-3.3274285714285723,SL,3.0745023568306067,0.9983981170748687,0.70875,3.784285714285748,1,1,22.087428571428234
2023-12-19 14:30:00+00:00,2023-12-19 14:45:00+00:00,1,2037.25,2042.0057142857142,2042.0057142857142,2035.3477142857143,4.455714285714248,TP,2.7996564093191956,0.999295239549896,0.58175,2.377857142857124,1,1,26.54314285714248
2023-12-27 15:15:00+00:00,2023-12-27 18:00:00+00:00,1,2077.09,2082.7771428571427,2082.7771428571427,2074.815142857143,5.38714285714259,TP,3.6350191461832697,0.9994179471032666,0.62875,2.843571428571392,1,11,31.93028571428507
2024-01-30 14:00:00+00:00,2024-01-30 14:15:00+00:00,1,2042.86,2047.452857142857,2047.452857142857,2041.022857142857,4.292857142857156,TP,2.7366138654906185,0.996570628467822,0.5700000000000001,2.2964285714286103,1,1,4.292857142857156
2024-01-31 14:30:00+00:00,2024-01-31 14:45:00+00:00,1,2049.81,2054.522857142857,2054.522857142857,2047.924857142857,4.412857142857047,TP,2.6331306466383295,0.9975404995166016,0.56825,2.356428571428572,1,1,8.705714285714203
2024-02-01 16:00:00+00:00,2024-02-01 17:30:00+00:00,1,2059.94,2056.24,2069.19,2056.24,-4.000000000000273,SL,2.5390951160763873,0.9912489447358734,0.55075,4.625000000000081,1,6,4.70571428571393
2024-02-15 13:30:00+00:00,2024-02-15 13:45:00+00:00,1,2003.39,2001.8488571428572,2007.2428571428572,2001.8488571428572,-1.8411428571428587,SL,3.179634547841361,0.9992849996406387,0.6015,1.9264285714285734,1,1,2.8645714285710717
