t_in,t_out,lado,entry,exit,tp,sl,pnl,motivo,z,p_up,p_mc,atr,expansion,bars,eq,year
2023-01-04 13:15:00+00:00,2023-01-04 14:30:00+00:00,1,1859.14,1856.9348571428573,1864.652857142857,1856.9348571428573,-2.505142857142846,SL,2.4266533998614146,0.6958078582171273,0.6415,2.7564285714285495,1,5,-2.505142857142846,2023
2023-01-06 13:30:00+00:00,2023-01-06 14:15:00+00:00,1,1847.33,1844.7785714285712,1853.7085714285713,1844.7785714285712,-2.851428571428687,SL,4.026397344264401,0.9489453725355345,0.47225,3.189285714285737,1,3,-5.356571428571533,2023
2023-02-07 15:45:00+00:00,2023-02-07 16:00:00+00:00,1,1879.43,1876.6362857142858,1886.4142857142858,1876.6362857142858,-3.0937142857142588,SL,2.649105055260935,0.9178122630993047,0.5245,3.492142857142864,1,1,-8.45028571428579,2023
2023-02-09 13:30:00+00:00,2023-02-09 13:45:00+00:00,1,1883.82,1888.652857142857,1888.652857142857,1881.886857142857,4.532857142857165,TP,2.372946595123206,0.9985385016480347,0.49750000000000005,2.416428571428599,1,1,-3.9174285714286254,2023
2023-02-17 15:00:00+00:00,2023-02-17 15:30:00+00:00,1,1833.81,1840.1585714285713,1840.1585714285713,1831.2705714285714,6.048571428571404,TP,3.6074714886925885,0.9981671640158453,0.44599999999999995,3.1742857142857184,1,2,2.1311428571427786,2023
2023-02-21 14:00:00+00:00,2023-02-21 14:30:00+00:00,1,1838.94,1842.9842857142858,1842.9842857142858,1837.3222857142857,3.7442857142857067,TP,2.391654421356388,0.9646070799260776,0.40125,2.0221428571428532,1,2,5.875428571428485,2023
2023-02-21 15:15:00+00:00,2023-02-21 16:00:00+00:00,1,1838.88,1836.345142857143,1845.217142857143,1836.345142857143,-2.834857142857163,SL,2.387628625764409,0.9991813409625375,0.3795,3.1685714285714215,1,3,3.0405714285713223,2023
2023-03-08 14:45:00+00:00,2023-03-08 15:00:00+00:00,1,1820.4,1818.5897142857143,1824.9257142857143,1818.5897142857143,-2.1102857142857827,SL,2.383910477999105,0.9982167815691764,0.3115,2.2628571428571473,1,1,0.9302857142855396,2023
2023-03-09 13:30:00+00:00,2023-03-09 14:00:00+00:00,1,1822.54,1826.072857142857,1826.072857142857,1821.126857142857,3.2328571428569832,TP,3.296624200705372,0.999323809766347,0.5495,1.766428571428524,1,2,4.163142857142523,2023
2023-03-10 13:30:00+00:00,2023-03-10 13:45:00+00:00,1,1843.8,1841.6971428571428,1849.0571428571427,1841.6971428571428,-2.4028571428571466,SL,4.6611334356715,0.8675615848403695,0.6479999999999999,2.6285714285714255,1,1,1.7602857142853763,2023
2023-04-03 14:00:00+00:00,2023-04-04 01:45:00+00:00,1,1983.03,1979.9722857142858,1990.6742857142856,1979.9722857142858,-3.357714285714155,SL,2.7613758422660495,0.9988444832825278,0.48375,3.822142857142824,1,43,-1.5974285714287788,2023
2023-04-04 14:00:00+00:00,2023-04-05 02:45:00+00:00,1,2016.39,2025.187142857143,2025.187142857143,2012.871142857143,8.497142857142943,TP,6.069255069824255,0.9764571857348746,0.635,4.398571428571456,1,47,6.899714285714165,2023
2023-04-19 13:30:00+00:00,2023-04-19 16:45:00+00:00,1,1988.94,1996.0257142857145,1996.0257142857145,1986.1057142857144,6.785714285714403,TP,2.6779702580617726,0.7740183726254267,0.38075000000000003,3.542857142857169,1,13,13.685428571428567,2023
2023-04-20 14:00:00+00:00,2023-04-20 14:15:00+00:00,1,2010.54,2007.3954285714285,2018.4014285714284,2007.3954285714285,-3.444571428571453,SL,2.9131161747531675,0.9990863777500517,0.7282500000000001,3.9307142857142514,1,1,10.240857142857113,2023
2023-05-02 14:00:00+00:00,2023-05-02 14:30:00+00:00,1,1999.34,2005.3428571428572,2005.3428571428572,1996.938857142857,5.702857142857238,TP,5.438773342706712,0.9790457968400306,0.48375,3.001428571428619,1,2,15.94371428571435,2023
2023-05-08 15:15:00+00:00,2023-05-08 17:30:00+00:00,1,2027.02,2024.6725714285715,2032.8885714285714,2024.6725714285715,-2.6474285714285086,SL,2.098336402660461,0.852012924045924,0.65375,2.9342857142857253,1,9,13.29628571428584,2023
2023-05-30 14:00:00+00:00,2023-05-30 16:00:00+00:00,1,1956.01,1962.1128571428571,1962.1128571428571,1953.568857142857,5.802857142857147,TP,2.7157613022003315,0.9932100369636179,0.54925,3.051428571428557,1,8,19.099142857142986,2023
2023-05-31 13:30:00+00:00,2023-05-31 13:45:00+00:00,1,1967.43,1972.2885714285715,1972.2885714285715,1965.4865714285716,4.558571428571395,TP,2.9952774688707433,0.9984756487401701,0.53925,2.429285714285665,1,1,23.65771428571438,2023
2023-05-31 14:15:00+00:00,2023-05-31 14:30:00+00:00,1,1966.12,1973.2271428571426,1973.2271428571426,1963.2771428571427,6.807142857142662,TP,2.1071133705862892,0.9990835187384313,0.529,3.55357142857138,1,1,30.464857142857042,2023
2023-06-07 13:30:00+00:00,2023-06-07 13:45:00+00:00,1,1962.04,1966.2085714285713,1966.2085714285713,1960.3725714285713,3.8685714285713404,TP,2.406423930542109,0.9741939038025742,0.45775,2.0842857142857025,1,1,34.333428571428385,2023
2023-06-08 13:30:00+00:00,2023-06-08 17:30:00+00:00,1,1965.32,1962.7342857142855,1971.7842857142857,1962.7342857142855,-2.8857142857144025,SL,2.1024812578467533,0.9993097588541654,0.49325,3.232142857142873,1,16,31.44771428571398,2023
2023-06-15 13:45:00+00:00,2023-06-16 01:45:00+00:00,1,1952.81,1961.2585714285715,1961.2585714285715,1949.4305714285713,8.14857142857154,TP,2.5280316133830523,0.9946179870703857,0.4875,4.224285714285721,1,44,39.59628571428552,2023
2023-06-30 14:00:00+00:00,2023-06-30 14:30:00+00:00,1,1916.73,1914.1517142857142,1923.1757142857143,1914.1517142857142,-2.878285714285812,SL,2.0974138998292053,0.9989499715812846,0.505,3.222857142857135,1,2,36.71799999999971,2023
2023-07-05 13:15:00+00:00,2023-07-05 13:30:00+00:00,1,1932.32,1930.646857142857,1936.5028571428572,1930.646857142857,-1.9731428571429206,SL,2.038104711540617,0.9720683389067829,0.49124999999999996,2.091428571428602,1,1,34.744857142856794,2023
2023-07-11 13:45:00+00:00,2023-07-11 14:45:00+00:00,1,1933.51,1931.5385714285715,1938.4385714285713,1931.5385714285715,-2.2714285714285323,SL,2.371643314701877,0.7270843018458718,0.5585,2.4642857142856656,1,4,32.473428571428265,2023
2023-08-04 13:00:00+00:00,2023-08-04 13:15:00+00:00,1,1943.72,1941.372,1949.5900000000001,1941.372,-2.647999999999956,SL,2.2169009258909522,0.9126218916788386,0.53,2.9350000000000103,1,1,29.825428571428308,2023
2023-08-10 13:30:00+00:00,2023-08-10 13:45:00+00:00,1,1924.61,1922.4094285714284,1930.1114285714284,1922.4094285714284,-2.500571428571493,SL,2.779473790797785,0.9989709145235174,0.44,2.750714285714285,1,1,27.324857142856814,2023
2023-09-08 13:45:00+00:00,2023-09-08 14:15:00+00:00,1,1928.7,1926.9542857142858,1933.0642857142857,1926.9542857142858,-2.045714285714257,SL,3.730867580676773,0.8990031376475901,0.539,2.1821428571428214,1,2,25.279142857142556,2023
2023-09-20 13:30:00+00:00,2023-09-20 14:45:00+00:00,1,1940.68,1944.1542857142856,1944.1542857142856,1939.2902857142858,3.174285714285543,TP,5.351072879381447,0.9993382320158383,0.5295,1.73714285714282,1,5,28.4534285714281,2023
2023-09-29 13:00:00+00:00,2023-09-29 13:15:00+00:00,1,1878.73,1877.0574285714285,1882.9114285714286,1877.0574285714285,-1.972571428571473,SL,2.674586458601637,0.9993545077152229,0.49975,2.0907142857142844,1,1,26.480857142856625,2023
